Index,Deci,Demod
"684.0","48.0","8.0"
"685.0","-704.0","34.0"
"686.0","-192.0","83.0"
"687.0","1328.0","102.0"
"688.0","1312.0","75.0"
"689.0","-112.0","30.0"
"690.0","-1824.0","4.0"
"691.0","-2656.0","9.0"
"692.0","-1888.0","40.0"
"693.0","-48.0","89.0"
"694.0","1392.0","107.0"
"695.0","1232.0","72.0"
"696.0","-288.0","29.0"
"697.0","-1968.0","2.0"
"698.0","-2640.0","11.0"
"699.0","-1728.0","43.0"
"700.0","176.0","92.0"
"701.0","1440.0","101.0"
"702.0","1104.0","68.0"
"703.0","-448.0","23.0"
"704.0","-2064.0","4.0"
"705.0","-2624.0","13.0"
"706.0","-1552.0","48.0"
"707.0","320.0","94.0"
"708.0","1488.0","99.0"
"709.0","1040.0","63.0"
"710.0","-592.0","19.0"
"711.0","-2208.0","3.0"
"712.0","-2592.0","15.0"
"713.0","-1392.0","52.0"
"714.0","480.0","99.0"
"715.0","1536.0","94.0"
"716.0","912.0","60.0"
"717.0","-784.0","14.0"
"718.0","-2304.0","12.0"
"719.0","-2544.0","35.0"
"720.0","-1264.0","30.0"
"721.0","640.0","40.0"
"722.0","1536.0","66.0"
"723.0","752.0","76.0"
"724.0","-960.0","60.0"
"725.0","-2384.0","32.0"
"726.0","-2480.0","8.0"
"727.0","-1056.0","9.0"
"728.0","784.0","49.0"
"729.0","1536.0","112.0"
"730.0","656.0","187.0"
"731.0","336.0","237.0"
"732.0","928.0","244.0"
"733.0","1344.0","212.0"
"734.0","1552.0","150.0"
"735.0","1456.0","81.0"
"736.0","1136.0","29.0"
"737.0","624.0","5.0"
"738.0","-96.0","13.0"
"739.0","-848.0","40.0"
"740.0","-1568.0","67.0"
"741.0","-2128.0","76.0"
"742.0","-2496.0","60.0"
"743.0","-2624.0","31.0"
"744.0","-2544.0","8.0"
"745.0","-2176.0","11.0"
"746.0","-1664.0","51.0"
"747.0","-992.0","118.0"
"748.0","-256.0","189.0"
"749.0","400.0","239.0"
"750.0","944.0","247.0"
"751.0","1344.0","212.0"
"752.0","1536.0","148.0"
"753.0","1456.0","78.0"
"754.0","1120.0","26.0"
"755.0","576.0","5.0"
"756.0","-96.0","14.0"
"757.0","-848.0","42.0"
"758.0","-1488.0","67.0"
"759.0","-2144.0","74.0"
"760.0","-2528.0","58.0"
"761.0","-2640.0","28.0"
"762.0","-2512.0","7.0"
"763.0","-2160.0","6.0"
"764.0","-1616.0","-9.0"
"765.0","-976.0","22.0"
"766.0","-288.0","3.0"
"767.0","432.0","10.0"
"768.0","992.0","41.0"
"769.0","1376.0","92.0"
"770.0","1520.0","104.0"
"771.0","1440.0","71.0"
"772.0","1136.0","25.0"
"773.0","560.0","2.0"
"774.0","-160.0","12.0"
"775.0","-912.0","46.0"
"776.0","224.0","94.0"
"777.0","1456.0","103.0"
"778.0","1120.0","65.0"
"779.0","-512.0","22.0"
"780.0","-2112.0","2.0"
"781.0","-2608.0","14.0"
"782.0","-1504.0","50.0"
"783.0","400.0","98.0"
"784.0","1504.0","99.0"
"785.0","976.0","63.0"
"786.0","-704.0","17.0"
"787.0","-2224.0","2.0"
"788.0","-2560.0","16.0"
"789.0","-1328.0","55.0"
"790.0","560.0","103.0"
"791.0","1520.0","97.0"
"792.0","848.0","59.0"
"793.0","-848.0","14.0"
"794.0","-2336.0","3.0"
"795.0","-2512.0","18.0"
"796.0","-1184.0","60.0"
"797.0","704.0","103.0"
"798.0","1520.0","94.0"
"799.0","704.0","54.0"
"800.0","-1056.0","12.0"
"801.0","-2416.0","4.0"
"802.0","-2432.0","21.0"
"803.0","-976.0","65.0"
"804.0","848.0","104.0"
"805.0","1520.0","92.0"
"806.0","576.0","48.0"
"807.0","-1184.0","10.0"
"808.0","-2496.0","21.0"
"809.0","-2352.0","38.0"
"810.0","-784.0","36.0"
"811.0","976.0","47.0"
"812.0","1504.0","71.0"
"813.0","432.0","74.0"
"814.0","-1392.0","55.0"
"815.0","-2560.0","25.0"
"816.0","-2256.0","7.0"
"817.0","-592.0","17.0"
"818.0","1072.0","65.0"
"819.0","1456.0","135.0"
"820.0","272.0","203.0"
"821.0","512.0","244.0"
"822.0","1040.0","241.0"
"823.0","1408.0","199.0"
"824.0","1520.0","132.0"
"825.0","1392.0","65.0"
"826.0","1040.0","18.0"
"827.0","464.0","5.0"
"828.0","-256.0","19.0"
"829.0","-1008.0","47.0"
"830.0","-1712.0","71.0"
"831.0","-2240.0","72.0"
"832.0","-2576.0","53.0"
"833.0","-2624.0","23.0"
"834.0","-2448.0","5.0"
"835.0","-2080.0","237.0"
"836.0","-1504.0","188.0"
"837.0","-800.0","120.0"
"838.0","-160.0","57.0"
"839.0","544.0","13.0"
"840.0","1056.0","6.0"
"841.0","1408.0","23.0"
"842.0","1520.0","52.0"
"843.0","1376.0","71.0"
"844.0","976.0","69.0"
"845.0","400.0","47.0"
"846.0","-256.0","19.0"
"847.0","-1024.0","4.0"
"848.0","-1696.0","22.0"
"849.0","-2256.0","73.0"
"850.0","-2576.0","146.0"
"851.0","-2624.0","210.0"
"852.0","-2432.0","244.0"
"853.0","-2048.0","234.0"
"854.0","-1472.0","185.0"
"855.0","-832.0","118.0"
"856.0","-112.0","54.0"
"857.0","560.0","14.0"
"858.0","1088.0","6.0"
"859.0","1424.0","24.0"
"860.0","1536.0","54.0"
"861.0","1376.0","73.0"
"862.0","1024.0","71.0"
"863.0","384.0","47.0"
"864.0","-336.0","19.0"
"865.0","-1088.0","5.0"
"866.0","656.0","-10.0"
"867.0","1536.0","15.0"
"868.0","784.0","8.0"
"869.0","-944.0","6.0"
"870.0","-2336.0","31.0"
"871.0","-2496.0","78.0"
"872.0","-1088.0","107.0"
"873.0","768.0","80.0"
"874.0","1520.0","37.0"
"875.0","656.0","4.0"
"876.0","-1120.0","7.0"
"877.0","-2432.0","35.0"
"878.0","-2400.0","83.0"
"879.0","-928.0","108.0"
"880.0","896.0","76.0"
"881.0","1520.0","33.0"
"882.0","512.0","3.0"
"883.0","-1280.0","9.0"
"884.0","-2512.0","39.0"
"885.0","-2304.0","88.0"
"886.0","-720.0","106.0"
"887.0","1008.0","73.0"
"888.0","1488.0","28.0"
"889.0","384.0","3.0"
"890.0","-1424.0","10.0"
"891.0","-2560.0","43.0"
"892.0","-2240.0","92.0"
"893.0","-528.0","104.0"
"894.0","1168.0","69.0"
"895.0","1440.0","25.0"
"896.0","208.0","2.0"
"897.0","-1552.0","13.0"
"898.0","-2608.0","46.0"
"899.0","-2128.0","97.0"
"900.0","-352.0","102.0"
"901.0","1232.0","66.0"
"902.0","1392.0","21.0"
"903.0","16.0","1.0"
"904.0","-1728.0","15.0"
"905.0","-2640.0","52.0"
"906.0","-1984.0","101.0"
"907.0","-144.0","100.0"
"908.0","1296.0","62.0"
"909.0","1328.0","17.0"
